Event.Id,Event.Date,Location,Aircraft.Damage,Make,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Crash.Location,Crash.Country
20170716X62357,2017-07-16,"Cummings, KS",Destroyed,NORTH AMERICAN/AERO CLASSICS,Personal,2.0,0.0,0.0,0.0,VMC,MANEUVERING,"39.482223,-95.204444",Kansas
20170714X43836,2017-07-14,"El Monte, CA",Substantial,JANSEN,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"34.086110999999995,-118.034722",California
20170714X15302,2017-07-13,"Marineland, FL",Destroyed,PIPER,Instructional,2.0,0.0,0.0,0.0,VMC,DESCENT,"29.661944000000002,-81.21583299999999",Florida
20170713X72811,2017-07-13,"SCHELLVILLE, CA",Destroyed,CIRRUS DESIGN CORP,Personal,2.0,1.0,1.0,0.0,VMC,TAKEOFF,"38.2575,-122.43416599999999",California
20170713X31937,2017-07-13,"Herriman, UT",Destroyed,AVIAT AIRCRAFT INC,Instructional,2.0,0.0,0.0,0.0,VMC,MANEUVERING,"40.485555,-112.17361100000001",Utah
20170713X12858,2017-07-13,"Tyler, TX",Destroyed,PIPER,Business,2.0,0.0,0.0,0.0,VMC,TAKEOFF,"32.344165999999994,-95.405833",Texas
20170711X30650,2017-07-09,"Corydon, IA",Substantial,CIRRUS DESIGN CORP,Personal,0.0,2.0,0.0,0.0,VMC,TAKEOFF,"40.775278,-93.232778",Iowa
20170708X13311,2017-07-08,"Big Timber, MT",Substantial,PIPER,Personal,0.0,2.0,0.0,0.0,VMC,MANEUVERING,"45.841944,-109.894166",Montana
20170710X81340,2017-07-08,"Lake Ashby, FL",Substantial,PROGRESSIVE AERODYNE INC,Personal,0.0,1.0,1.0,0.0,VMC,LANDING,"28.930556,-81.092777",Florida
20170713X22505,2017-07-08,"Ireland, IN",Destroyed,ROBINSON HELICOPTER,Aerial Application,0.0,1.0,0.0,0.0,VMC,MANEUVERING,"38.414722,-86.999444",Indiana
20170708X12341,2017-07-08,"Cash, AR",Destroyed,AIR TRACTOR INC,Aerial Application,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"35.790277,-90.88833299999999",Arkansas
20170708X73501,2017-07-08,"Waterford, OH",Destroyed,PIPER,Personal,2.0,0.0,0.0,0.0,IMC,APPROACH,"39.575556,-81.69027700000001",Ohio
20170706X21348,2017-07-06,"Ronan, MT",Substantial,ROBINSON HELICOPTER COMPANY,Personal,0.0,1.0,1.0,0.0,VMC,MANEUVERING,"47.476389000000005,-114.055278",Montana
20170706X74454,2017-07-06,"Honesdale, PA",Substantial,MORRISEY,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"41.515556,-75.251667",Pennsylvania
20170704X52124,2017-07-04,"Dillwyn, VA",Substantial,AVIAT AIRCRAFT INC,Personal,0.0,1.0,1.0,0.0,VMC,GO-AROUND,"37.492222,-78.5175",Virginia
20170704X64138,2017-07-04,"Remsen, NY",Substantial,LUSCOMBE,Personal,1.0,0.0,0.0,0.0,VMC,APPROACH,"43.355833000000004,-75.188055",New York
20170703X54557,2017-07-03,"Farmville, VA",Substantial,PIPER,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"37.3575,-78.437777",Virginia
20170703X14846,2017-07-02,"Bella Vista, CA",Substantial,Robinson,Personal,0.0,2.0,2.0,0.0,VMC,MANEUVERING,"40.669723,-122.178334",California
20170702X02521,2017-07-02,"Linesville, PA",Substantial,SLIP STREAM,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"41.683056,-80.43305600000001",Pennsylvania
20170703X90833,2017-07-02,"Moorhead, MN",Destroyed,NORTH AMERICAN,Personal,1.0,0.0,0.0,0.0,VMC,APPROACH,"46.0,-96.0",Minnesota
20170706X75402,2017-07-01,"Homestead, FL",Destroyed,CESSNA,Personal,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"25.495832999999998,-80.7475",Florida
20170701X82136,2017-07-01,"Monticello, IA",Substantial,FLIGHT DESIGN GMBH,Personal,1.0,0.0,0.0,0.0,VMC,LANDING,"42.219722999999995,-91.158333",Iowa
20170630X02103,2017-06-30,"Honolulu, HI",Substantial,PIPER,Personal,0.0,3.0,0.0,0.0,VMC,TAKEOFF,"21.316667000000002,-157.916667",Hawaii
20170630X62434,2017-06-30,"Santa Ana, CA",Substantial,CESSNA,Personal,0.0,2.0,0.0,0.0,VMC,TAKEOFF,"33.685,-117.862778",California
20170630X54152,2017-06-30,"Baker, FL",Destroyed,Nunley,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"30.854166999999997,-86.66722299999999",Florida
20170629X13505,2017-06-29,"Stirum, ND",Destroyed,AIR TRACTOR INC,Aerial Application,1.0,0.0,0.0,0.0,IMC,MANEUVERING,"46.219722999999995,-97.830278",North Dakota
20170628X01152,2017-06-28,"Ocean Isle Beach, NC",Substantial,BEECH,Personal,0.0,1.0,1.0,0.0,VMC,TAKEOFF,"33.9075,-78.44666600000001",North Carolina
20170625X14152,2017-06-25,"Federalsburg, MD",Substantial,BUCKEYE POWERED PARACHUTES INC,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"38.711667,-75.830556",Maryland
20170624X93152,2017-06-24,"Fort Myers, FL",Destroyed,PIPER,Personal,1.0,1.0,0.0,0.0,VMC,TAKEOFF,"26.578611,-81.852778",Florida
20170620X21734,2017-06-20,"Mahnomen, MN",Substantial,AERONCA,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"47.267223,-95.920278",Minnesota
20170619X92534,2017-06-17,"Mount Vernon, OH",Minor,AERONCA,Personal,1.0,0.0,0.0,0.0,VMC,STANDING,"40.365278,-82.495277",Ohio
20170615X22227,2017-06-15,"Hastings, MN",Substantial,BELL-TELLIJOHN,Aerial Application,0.0,1.0,0.0,1.0,VMC,MANEUVERING,"44.7075,-92.851389",Minnesota
20170615X33818,2017-06-15,"Hartford, WI",Destroyed,GEFA-FLUG GMBH,Other Work Use,0.0,1.0,0.0,0.0,VMC,APPROACH,"43.243333,-88.368611",Wisconsin
20170614X22908,2017-06-13,"Ruidoso, NM",Destroyed,BEECH,Personal,2.0,0.0,0.0,0.0,VMC,CLIMB,"33.453056,-105.54305500000001",New Mexico
20170611X43158,2017-06-11,"Gordonville, FL",Substantial,CIRRUS DESIGN CORP,Personal,0.0,1.0,0.0,0.0,VMC,APPROACH,"27.945555,-81.798611",Florida
20170609X83633,2017-06-09,"Homer, LA",Substantial,Thompson,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"32.789722,-93.006389",Louisiana
20170609X40127,2017-06-09,"Douglas, WY",Substantial,ROBINSON HELICOPTER COMPANY,Business,0.0,1.0,0.0,3.0,VMC,LANDING,"42.836665999999994,-105.409722",Wyoming
20170612X60506,2017-06-08,"Chatsworth, IL",Minor,HEAD BALLOONS INC,Personal,0.0,1.0,2.0,0.0,VMC,STANDING,"40.753611,-88.291944",Illinois
20170609X10358,2017-06-08,"Watkins, CO",Substantial,BELLANCA,Personal,0.0,2.0,0.0,0.0,VMC,TAKEOFF,"39.809722,-104.4925",Colorado
20170608X63157,2017-06-08,"Harrisonville, MO",Minor,PIPER,Personal,0.0,1.0,0.0,1.0,VMC,TAXI,"38.550278000000006,-94.406111",Missouri
20170604X10441,2017-06-04,"Santa Rosa Valley, CA",Substantial,PIPER,Personal,2.0,0.0,0.0,0.0,VMC,MANEUVERING,"34.242222,-118.86666699999999",California
20170605X85904,2017-06-04,"Kenosha, WI",Substantial,ROBINSON HELICOPTER COMPANY,Personal,0.0,1.0,0.0,0.0,VMC,LANDING,"42.594444,-87.92666700000001",Wisconsin
20170604X12618,2017-06-03,"Dimmitt, TX",Substantial,ROBINSON HELICOPTER COMPANY,Business,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"34.420556,-102.512222",Texas
20170603X13128,2017-06-03,"New Berlin, TX",Destroyed,Michael S. Logan,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"26.439444,-98.11",Texas
20170603X00247,2017-06-02,"Banning, CA",Substantial,CESSNA,Instructional,1.0,1.0,0.0,0.0,VMC,TAKEOFF,"33.923889,-116.87111100000001",California
20170601X72202,2017-06-01,"Ventura, CA",Destroyed,CESSNA,Personal,1.0,0.0,0.0,0.0,VMC,CRUISE,"34.318056,-119.340277",California
20170601X41223,2017-06-01,"Bowling Green, OH",Substantial,VARGA AIRCRAFT CORP.,Personal,1.0,0.0,0.0,0.0,VMC,STANDING,"41.339166,-83.598611",Ohio
20170530X35230,2017-05-28,"El Campo, TX",Substantial,PIPER,Aerial Application,0.0,1.0,0.0,0.0,VMC,MANEUVERING,"29.123056,-96.246944",Texas
20170527X93038,2017-05-27,"Haines, AK",Substantial,PIPER,Personal,2.0,1.0,0.0,0.0,VMC,MANEUVERING,"59.093889000000004,-135.376667",Unknown
20170907X34535,2017-05-27,"Ray, MI",Substantial,PIPER,Personal,0.0,1.0,0.0,0.0,VMC,LANDING,"42.736666,-82.888889",Michigan
20170528X22231,2017-05-27,"Salcha, AK",Substantial,ARCTIC AIRCRAFT CO INC,Personal,2.0,0.0,0.0,0.0,VMC,MANEUVERING,"64.6475,-145.878611",Alaska
20170526X64811,2017-05-26,"Rockville, ID",Substantial,BELL,Aerial Application,0.0,1.0,0.0,0.0,VMC,MANEUVERING,"43.276945,-116.99611100000001",Idaho
20170526X21127,2017-05-26,"Ephrata, WA",Substantial,SCHLEICHER,Personal,1.0,0.0,0.0,0.0,VMC,LANDING,"47.329167,-119.709722",Washington
20170526X85142,2017-05-26,"Maxwell, CA",Substantial,GRUMMAN ACFT ENG COR-SCHWEIZER,Aerial Application,0.0,1.0,0.0,0.0,VMC,MANEUVERING,"39.286111,-122.185",California
20170525X33813,2017-05-25,"New Castle, DE",Destroyed,EUROCOPTER DEUTSCHLAND GMBH,Personal,1.0,0.0,0.0,0.0,IMC,GO-AROUND,"39.659167,-75.601111",Delaware
20170524X33247,2017-05-24,"Chetek, WI",Substantial,PIPER,Personal,1.0,1.0,0.0,0.0,VMC,MANEUVERING,"45.279445,-91.70916700000001",Wisconsin
20170515X80533,2017-05-15,"Teterboro, NJ",Destroyed,LEARJET,Positioning,2.0,0.0,0.0,0.0,VMC,APPROACH,"40.829445,-74.060278",New Jersey
20170514X12152,2017-05-13,"Weatherford, TX",Substantial,PIPISTREL DOO AJDOVSCINA,Personal,0.0,2.0,0.0,0.0,VMC,TAKEOFF,"32.566945000000004,-97.8075",Texas
20170514X13152,2017-05-13,"Blair, NE",Substantial,AS+ LTD,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"41.414722,-96.108889",Nebraska
20170512X42326,2017-05-12,"Hopkinsville, KY",Destroyed,BEECH,Personal,2.0,0.0,0.0,0.0,IMC,MANEUVERING,"36.926111,-87.608611",Kentucky
20170511X93532,2017-05-11,"Seward, AK",Substantial,PIPER,Instructional,0.0,1.0,0.0,1.0,VMC,TAXI,"60.13,-149.416945",Alaska
20170512X51241,2017-05-11,"Orangeville, IL",Substantial,BROKAW BERGON F,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"42.4725,-89.648333",Illinois
20170510X92056,2017-05-10,"Reedsville, PA",Substantial,REUPERT MARK,Personal,0.0,1.0,1.0,0.0,VMC,TAKEOFF,"40.681111,-77.625834",Pennsylvania
20170508X45426,2017-05-08,"Lake Berryessa, CA",Substantial,ICON AIRCRAFT INC,Business,2.0,0.0,0.0,0.0,VMC,MANEUVERING,"38.540277,-122.142777",California
20170505X12905,2017-05-05,"Hanksville, UT",Substantial,ROBERT E BOUNDS,Personal,0.0,2.0,0.0,0.0,VMC,LANDING,"38.420278,-110.70111100000001",Utah
20170505X11104,2017-05-05,"Clearwater, FL",Substantial,CIRRUS DESIGN CORP,Personal,1.0,0.0,0.0,0.0,VMC,GO-AROUND,"27.977778000000004,-82.759167",Florida
20170615X73758,2017-05-04,"Redcrest, CA",Substantial,Hy-Tek,Personal,1.0,0.0,0.0,0.0,UNK,APPROACH,"40.338889,-123.83333400000001",California
20170502X01858,2017-05-02,"Orange Springs, FL",Substantial,BELL,Firefighting,0.0,1.0,0.0,0.0,VMC,MANEUVERING,"29.462778000000004,-81.97805600000001",Florida
20170430X03839,2017-04-30,"Collinston, LA",Destroyed,CHAMPION,Instructional,2.0,0.0,0.0,0.0,VMC,MANEUVERING,"32.684444,-91.85194399999999",Louisiana
20170501X81827,2017-04-28,"Hollis, OK",Substantial,AIR TRACTOR INC,Aerial Application,1.0,0.0,0.0,0.0,VMC,APPROACH,"34.700278000000004,-99.908611",Oklahoma
20170427X94347,2017-04-27,"Keene, CA",Destroyed,NANCHANG,Personal,1.0,0.0,0.0,0.0,VMC,DESCENT,"35.195833,-118.503611",California
20170424X93837,2017-04-24,"Wallingford, CT",Destroyed,CIRRUS DESIGN CORP,Personal,1.0,1.0,0.0,0.0,VMC,LANDING,"41.508333,-72.827223",Connecticut
20170424X60355,2017-04-24,"Boonville, MO",Substantial,BELLANCA,Personal,2.0,0.0,0.0,0.0,VMC,APPROACH,"38.959167,-92.681389",Missouri
20170423X05422,2017-04-23,"Paso Robles, CA",Substantial,APPLEBY,Personal,1.0,0.0,0.0,0.0,VMC,APPROACH,"35.669167,-120.54861100000001",California
20170421X84716,2017-04-21,"Timmonsville, SC",Destroyed,BELL-CARSON,Personal,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"34.181945,-80.00416700000001",South Carolina
20170421X03812,2017-04-20,"Kernville, CA",Substantial,PIPER,Personal,0.0,3.0,0.0,0.0,VMC,TAKEOFF,"35.709167,-118.421945",California
20170418X01152,2017-04-18,"East Windsor, CT",Substantial,LUSCOMBE,Personal,2.0,0.0,0.0,0.0,VMC,TAKEOFF,"41.933056,-72.565833",Connecticut
20170419X25815,2017-04-17,"Sierraville, CA",Destroyed,SOCATA,Personal,2.0,0.0,0.0,0.0,UNK,CRUISE,"39.541111,-120.470556",California
20170416X54153,2017-04-15,"Williston, FL",Destroyed,CESSNA,Personal,4.0,0.0,0.0,0.0,VMC,TAKEOFF,"29.366111,-82.463611",Florida
20170413X40146,2017-04-13,"Spanaway, WA",Substantial,TITAN,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"47.081666999999996,-122.428334",Washington
20170412X70158,2017-04-12,"Monongahela, PA",Destroyed,HOWARD AIRCRAFT,Personal,1.0,0.0,0.0,0.0,VMC,GO-AROUND,"40.208611,-79.83111099999999",Pennsylvania
20170412X64143,2017-04-12,"Hartsville, IN",Substantial,TEMCO,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"39.236389,-85.693055",Indiana
20170408X41518,2017-04-08,"Sanford, FL",Destroyed,PIPER,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"28.77,-81.218889",Florida
