Event.Id,Event.Date,Location,Aircraft.Damage,Make,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Crash.Location,Crash.Country
20150929X85735,2015-09-20,"Talkeetna, AK",Substantial,CHAMPION,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"62.329723,-150.08666599999998",Alaska
20150922X80538,2015-09-20,"Palmer, AK",Substantial,STINSON,Personal,0.0,2.0,0.0,0.0,VMC,APPROACH,"61.413332999999994,-148.57138899999998",Alaska
20150921X90452,2015-09-20,"Morrisville, NY",Destroyed,CESSNA,Personal,2.0,0.0,0.0,0.0,VMC,MANEUVERING,"42.906389000000004,-75.662222",New York
20150920X40915,2015-09-19,"Gettysburg, PA",Substantial,CESSNA,Personal,0.0,2.0,0.0,0.0,VMC,MANEUVERING,"39.813056,-77.27722299999999",Pennsylvania
20150918X10954,2015-09-18,"Spring Hill, FL",Substantial,CESSNA,Personal,1.0,0.0,0.0,0.0,IMC,APPROACH,"28.473889,-82.51",Florida
20150915X52520,2015-09-15,"Iliamna, AK",Substantial,DEHAVILLAND,Other Work Use,3.0,5.0,2.0,0.0,VMC,TAKEOFF,"59.777778000000005,-154.917778",Alaska
20150915X12259,2015-09-14,"Manteo, NC",Substantial,BELLANCA,Banner Tow,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"35.913333,-75.701667",Unknown
20150914X71046,2015-09-13,"Moneta, VA",Substantial,CESSNA,Aerial Observation,0.0,2.0,0.0,0.0,VMC,GO-AROUND,"37.103889,-79.597222",Virginia
20150912X91445,2015-09-12,"Oneida, TN",Destroyed,AERO VODOCHODY,Air Race/Show,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"36.449166,-84.62944499999999",Tennessee
20150912X73040,2015-09-12,"Atco, NJ",Destroyed,CESSNA,Personal,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"39.7775,-74.858333",New Jersey
20150914X90257,2015-09-11,"Laramie, WY",Substantial,ALON,Personal,0.0,1.0,0.0,0.0,VMC,CLIMB,"41.264722,-105.475",Wyoming
20150910X60344,2015-09-08,"Somerset, NJ",Destroyed,AEROFAB INC.,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"40.622223,-74.673334",New Jersey
20150907X41113,2015-09-07,"Creswell, OR",Destroyed,SILVAIRE,Personal,2.0,0.0,0.0,0.0,VMC,APPROACH,"43.935,-123.008889",Oregon
20150907X44940,2015-09-07,"Kernersville, NC",Destroyed,BEECH,Personal,3.0,0.0,0.0,0.0,IMC,APPROACH,"36.023610999999995,-80.068056",North Carolina
20150907X63755,2015-09-06,"Louisburg, NC",Substantial,DEHAVILLAND,Aerial Observation,0.0,1.0,1.0,1.0,VMC,APPROACH,"36.084722,-78.371945",North Carolina
20150908X84919,2015-09-05,"Silverton, CO",Destroyed,CESSNA,Personal,4.0,0.0,0.0,0.0,IMC,CRUISE,"37.761944,-107.845555",Colorado
